Tags,java,android,swing,eclipse,spring,hibernate,arrays,multithreading,xml,jsp,string,servlets,maven,java-ee,mysql,spring-mvc,json,regex,tomcat,jpa,jdbc,javascript,arraylist,web-services,sql,generics,netbeans,sockets,user-interface,jar,html,jsf,database,file,google-app-engine,gwt,junit,exception,algorithm,rest,class,performance,applet,image,jtable,c#,jframe,collections,c++,methods,oop,linux,nullpointerexception,jaxb,parsing,oracle,concurrency,php,jpanel,jboss,object,ant,date,selenium,javafx,jvm,list,struts2,hashmap,sorting,awt,http,inheritance,reflection,hadoop,windows,loops,unit-testing,sqlite,design-patterns,serialization,security,intellij-idea,file-io,logging,swt,apache,annotations,jersey,jquery,scala,libgdx,osx,encryption,spring-security,log4j,python,jni,soap,interface,io,for-loop,recursion,jackson,web-applications,ssl,jsf-2,jbutton,android-layout,playframework,graphics,ajax,glassfish,eclipse-plugin,enums,selenium-webdriver,networking,c,if-statement,apache-poi,listview,pdf,mongodb,android-activity,math,android-fragments,api,data-structures,excel,android-intent,orm,constructor,validation,ejb,debugging,classpath,audio,static,map,layout,testing,garbage-collection,design,java.util.scanner,groovy,exception-handling,primefaces,random,variables,java-8,jsoup,memory,url,linked-list,gson,session,postgresql,jasper-reports,actionlistener,jetty,lucene,timer,jms,android-asynctask,jstl,classloader,jax-rs,maven-2,javafx-2,.net,jax-ws,jlabel,casting,email,struts,datetime,jtextfield,gradle,itext,java-me,multidimensional-array,opengl,while-loop,caching,inputstream,dependency-injection,javamail,csv,cxf,xml-parsing,properties,mockito,google-maps,rmi,osgi,wsdl,search,encoding,button,split
string,0.98137075,0.9896941,0.99652475,0.9971737,0.9996297,0.9996674,0.9544812,0.999309,0.99490833,0.99828494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
servlets,0.98268175,0.99848396,0.9994419,0.9915989,0.9866198,0.9970468,0.9986326,0.9940101,0.993837,0.85283047,0.9993471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maven,0.98337305,0.9972249,0.9996461,0.9504641,0.96923244,0.9887207,1,0.9996843,0.9948033,0.996175,0.99992996,0.99609363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
java-ee,0.9846495,0.99944645,0.9988705,0.98957753,0.97484446,0.97809994,0.99945766,0.99567497,0.9956691,0.97235566,0.99945474,0.9613407,0.98586696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,0.9847717,0.9941606,0.99347216,0.99291694,0.9874843,0.94176567,0.9982055,0.9960899,0.99676985,0.98131436,0.99817365,0.9865462,0.9973968,0.9924344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-mvc,0.98495686,0.99980676,0.99985224,0.996395,0.7969054,0.9696832,0.9997106,0.99792355,0.99314415,0.9534756,0.99989,0.9843871,0.98548716,0.98268735,0.9942993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
json,0.9851692,0.9746498,0.9997035,0.9967922,0.9852063,0.9960424,0.98667014,0.9994705,0.9884419,0.994027,0.99506897,0.9915195,0.99842787,0.9969641,0.99209404,0.98058045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regex,0.9857753,0.996346,0.99945194,0.99845773,0.9992893,0.9996903,0.9970355,0.99966365,0.99542797,0.99906963,0.9359933,0.9994518,0.9996798,0.9994153,0.99903506,0.9991557,0.9973162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomcat,0.9858852,0.99944174,0.999867,0.9735457,0.9750416,0.9921228,0.99983525,0.9945405,0.9967384,0.96380395,0.9998869,0.93647146,0.9766171,0.9754035,0.9872609,0.98509,0.99799156,0.9997386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jpa,0.9861296,0.99983907,0.9995328,0.9966716,0.9662657,0.8375606,0.9998342,0.99884427,0.9980111,0.9988066,0.99981004,0.9983746,0.9933993,0.9675942,0.9724499,0.99238545,0.99793124,0.99986815,0.99712455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jdbc,0.9872616,0.9990946,0.99458486,0.99575067,0.98816335,0.9883889,0.99911016,0.99637747,0.9988115,0.99057245,0.99921227,0.990882,0.9978937,0.9935866,0.8810688,0.9975055,0.9996865,0.99977106,0.98733765,0.9943078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javascript,0.98770726,0.9946384,0.9990277,0.99671143,0.9932873,0.9990865,0.9972226,0.9996094,0.9971491,0.942832,0.99852073,0.97416925,0.99803257,0.9914426,0.99725634,0.9880267,0.9785691,0.9938642,0.99586934,0.99990565,0.9995066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arraylist,0.9879344,0.9896308,0.99513865,0.99830633,0.99974597,0.9994965,0.95408165,0.99666643,0.9984934,0.99578756,0.9847291,0.9981481,0.99995697,0.99932414,0.99786973,0.9996356,0.99525017,0.998401,1,0.9995238,0.9984548,0.9990362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web-services,0.98835534,0.99380505,0.9996732,0.9914536,0.98653173,0.99820256,0.9991883,0.9979706,0.9844151,0.9972881,0.99934715,0.99373823,0.995306,0.98155737,0.99561685,0.99558634,0.9867719,0.9998091,0.983585,0.9983523,0.9987327,0.9964809,0.99895763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sql,0.9892355,0.99534094,0.9964886,0.9972212,0.99385655,0.95637757,0.99822444,0.9980286,0.997743,0.99235326,0.9977692,0.9955848,0.9992784,0.9947731,0.92598826,0.9986109,0.9983575,0.9978713,0.99845946,0.97377354,0.911995,0.998606,0.9978868,0.99900746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generics,0.989733,0.9987134,0.999386,0.9973122,0.9975088,0.99764335,0.98995256,0.9997738,0.9993794,0.99991924,0.9994443,0.9999105,0.9995867,0.99879384,0.99985474,0.9989258,0.99674314,0.9998488,1,0.99764186,0.99967796,1,0.989499,0.9995491,0.99958897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netbeans,0.9898799,0.99938256,0.9741561,0.9933173,0.9989205,0.99682283,0.99804217,0.9985214,0.99773616,0.99395895,0.9981502,0.9952536,0.9860071,0.9899153,0.98662585,0.99872285,0.9991582,0.99949265,0.99001956,0.9947758,0.9934225,0.99790263,0.9979929,0.98980117,0.99279636,0.99945474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockets,0.9904033,0.9887348,0.997747,0.99853414,0.99934596,0.99971676,0.99898773,0.9729313,0.99841356,0.999215,0.99855465,0.99802387,1,0.9981658,0.99850595,0.9998998,0.9981267,0.99989635,0.9976517,1,0.9990041,0.99768245,0.998859,0.99825346,0.9998181,1,0.99906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user-interface,0.9904601,0.99531806,0.92371786,0.994176,0.9997576,0.99996847,0.9971782,0.9902705,0.996337,0.99975175,0.9989911,0.99995404,0.9999528,0.9996527,0.99870247,0.99969864,0.9998987,0.999948,0.99989563,0.9998418,0.9990016,0.99864113,0.99627227,0.99959195,0.9987216,0.9997506,0.97956043,0.9990314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jar,0.9910539,0.99692327,0.99760014,0.97099775,0.99746794,0.9989751,0.9998854,0.9995678,0.99809563,0.99860543,0.9998657,0.99811643,0.9722677,0.9965331,0.99841446,0.99943364,0.99916863,0.99984014,0.9949427,0.9996753,0.99748886,0.999302,1,0.99867934,0.9993733,0.9997429,0.9798547,0.9995338,0.9980597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html,0.99142295,0.9957025,0.9936915,0.99739283,0.9969275,0.9997092,0.999536,0.9997615,0.9907453,0.9505719,0.9954877,0.97463095,0.9994119,0.99585557,0.995625,0.99432355,0.99682575,0.9906006,0.9963966,1,0.9990145,0.93,0.9992819,0.9985327,0.99846584,0.9999345,0.9976175,0.9988439,0.99829364,0.99653614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsf,0.9915625,0.99996483,0.99991,0.99670565,0.9929402,0.99449044,0.99980587,0.999281,0.99897075,0.9885317,0.9997263,0.99368155,0.9968875,0.97012454,0.9975424,0.99847305,0.99946916,0.999455,0.99155444,0.9928102,0.9988912,0.98427385,0.99933726,0.9980908,0.9985837,0.9992735,0.9947171,0.99958915,0.9993129,0.9997869,0.99180746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database,0.99157727,0.99185926,0.99638635,0.996972,0.9949695,0.97349757,0.99844414,0.9967547,0.99715275,0.9926413,0.99867487,0.9937265,0.9993096,0.9928878,0.9450471,0.99863034,0.9980319,0.99956375,0.9975291,0.98121405,0.9573627,0.99838847,0.9979472,0.99734783,0.94344366,0.9996696,0.9918115,0.9989027,0.99820995,0.99886155,0.99737895,0.9987538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file,0.991855,0.994452,0.99715394,0.99607515,0.99902725,0.9998693,0.99030817,0.99745476,0.995997,0.99778223,0.990364,0.99703395,0.99935174,0.9985794,0.99873084,0.9992008,0.99870884,0.99745506,0.9979439,1,0.99940854,0.9990932,0.9955212,0.99862576,0.99947745,0.9998659,0.9962008,0.9953163,0.998602,0.9877906,0.99785453,0.9994041,0.99678576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-app-engine,0.9920476,0.99627936,0.999855,0.990651,0.9965863,0.998948,0.999724,0.99874127,0.9989957,0.99202996,0.9995819,0.98522776,0.99010956,0.99590427,0.9975978,0.9960116,0.99608356,0.9995545,0.99955225,0.988962,0.9986259,0.9968192,0.9995064,0.99747396,0.9984146,0.9997967,0.9989059,0.99887323,1,0.99890304,0.9975294,0.99864244,0.9968237,0.99938613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwt,0.9921464,0.9997703,0.9996731,0.99033386,0.9974872,0.99659693,0.999644,0.99959296,0.99713975,0.9986831,0.99925363,0.9893939,0.9893487,0.9964764,0.99774873,0.9991906,0.99562746,0.9982637,0.99355274,0.99760765,0.9990399,0.964467,0.9993178,0.9989225,0.99920374,0.99815726,0.9987622,0.99971694,0.9960097,0.9984545,0.9869853,0.9990899,0.9982526,0.9992278,0.9682514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
junit,0.99227107,0.9977673,0.99961793,0.9875567,0.9849509,0.99388397,0.9992053,0.9972553,0.9985236,0.99960357,0.9992501,0.99827206,0.9834089,0.9965112,0.9991928,0.9944399,0.99895924,0.99960625,0.99909496,0.9969617,0.99855036,0.9994448,0.9990637,0.99827665,0.9993321,0.9982133,0.9957633,0.9998575,0.99964243,0.99792284,0.998939,0.99908286,0.99708724,0.99922174,0.99763274,0.9969008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exception,0.99235994,0.9954058,0.99729747,0.99521923,0.99600655,0.99463975,0.99358845,0.99385744,0.9980527,0.99743134,0.99627376,0.9965257,0.99842054,0.9963895,0.99593496,0.9971073,0.99796325,0.99875635,0.9968122,0.9976415,0.99476314,0.998884,0.99527943,0.9967891,0.9965675,0.99758136,0.99651253,0.9932223,0.99856085,0.99633974,0.9994669,0.998462,0.9969938,0.9943374,0.99833465,0.9973638,0.9928814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algorithm,0.9924624,0.9987059,0.999343,0.9995328,0.9999243,0.99990034,0.98173535,0.9978162,0.9995334,0.9998226,0.9899938,0.99995035,0.9999489,0.99929833,0.9992946,0.99994534,0.9995031,0.99738383,1,0.99994236,0.9999391,0.9983789,0.9935353,0.9997425,0.99891967,0.9993756,0.99979025,0.9997838,0.9991318,0.9998502,0.9993868,0.9999227,0.9983731,0.99905455,0.99984056,0.9995185,0.9999191,0.99967456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rest,0.9925969,0.99719214,0.9998903,0.9982473,0.9770734,0.99739367,0.9995183,0.9988423,0.9935265,0.99794644,0.99952555,0.99290925,0.9948882,0.9895291,0.998142,0.9762401,0.955763,0.9993146,0.98874515,0.99656457,0.9991412,0.99420035,0.999429,0.9297357,0.9994561,0.9993709,0.99759907,0.99941874,0.99978137,0.99932,0.99814254,0.9989078,0.9991412,0.9988076,0.99417806,0.9975667,0.9973006,0.99802667,0.9998347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class,0.99260557,0.99527246,0.9970671,0.99477243,0.99959505,0.99953306,0.98633033,0.9983034,0.9990191,0.99825895,0.9947547,0.9991,0.9994344,0.99923956,0.9996725,0.999945,0.99899924,0.9996001,0.99896586,0.99982584,0.9995706,0.9993098,0.99052256,0.99961084,0.99959195,0.98969,0.99625045,0.9993457,0.99560696,0.98900175,0.9993813,0.9995319,0.99851495,0.9965723,0.99959767,0.99927086,0.99861044,0.9958776,0.99942094,0.9998331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
